file,DeltaTD_ms_Pressure_%,DeltaTD_ms_Recovery_%,PAD_ms_Pressure_%,PAD_ms_Recovery_%,AUSPR_Pressure_%,AUSPR_Recovery_%,HSI_Pressure_%,HSI_Recovery_%,AmpRatio_norm_Pressure_%,AmpRatio_norm_Recovery_%
summary_stats_2025-10-31_1720.csv,11.309973554967904,45.96241027578391,-11.309973554967904,-45.96241027578391,-16.96905016008538,-7.790821771611532,122.29437229437227,166.23376623376623,2.0465116279069786,14.046511627906979
summary_stats_2025-10-31_1733.csv,320.0543385973849,-2.11411105450841,-337.92664289353036,6.104601799966049,61.78608515057114,-4.153686396677043,404.22535211267603,64.38631790744466,3722.147001934236,11.992263056092831
summary_stats_2025-10-31_1910.csv,-6.074642668078344,43.250397035468495,-200.04500450045003,205.8955895589559,-11.51615575807788,-35.45981772990886,-31.314285714285717,31.542857142857144,-19.912663755458514,-45.24017467248908
summary_stats_2025-10-31_1921.csv,-64.82810920121334,-61.53185035389282,69.22649140546007,72.5227502527806,7.268722466960346,24.77973568281938,-27.78625954198474,-19.84732824427481,2.622950819672121,22.295081967213108
summary_stats_2025-10-31_1927.csv,94.31729855773382,54.650660678815086,-94.31729855773382,-54.650660678815086,14.654282765737875,-23.013415892672857,17.01680672268909,195.16806722689077,46.751863684771024,-11.182108626198081
summary_stats_2025-10-31_1932.csv,-24.178825558829878,-55.65298641558255,24.178825558829878,80.11931287285273,29.844559585492224,14.300518134715027,53.153153153153134,-26.126126126126138,0.5847953216374181,-9.690893901420225
summary_stats_2025-10-31_1937.csv,-9.297052154195015,-34.44768383543894,3.879162375557841,30.532097493992445,37.57637474541752,-26.578411405295316,178.42778793418643,178.9762340036563,47.42468415937804,-41.98250728862973
summary_stats_2025-10-31_1946.csv,-7.203172978505625,10.491299897645847,,,-20.911528150134046,-19.213583556747093,46.32478632478633,29.57264957264958,-21.298949379178605,-27.029608404966563
summary_stats_2025-10-31_1951.csv,124.31304131098513,5.925602841298526,1257.4074074074076,-551.0416666666667,21.65551839464884,-41.47157190635452,89.24387646432375,102.76890308839191,573.904576436222,-23.27166504381693
summary_stats_2025-10-31_1957.csv,44.61889611287867,-14.137501729146495,51.58589002519638,-45.48688305913739,14.182111200644636,13.053988718775173,26.68650793650793,26.884920634920626,0.6796116504854267,14.077669902912623
summary_stats_2025-10-31_2003.csv,-12.608667654066586,3.0330349668362424,-19.363835580051788,4.68822630984794,15.353535353535346,23.131313131313142,15.838150289017342,26.011560693641627,2.944162436548226,9.441624365482241
summary_stats_2025-10-31_2011.csv,257.3707943114811,56.42270782749452,236.36057854019512,-273.1247897746385,11.55830753353973,-9.597523219814239,79.71576227390182,86.3049095607235,173.2142857142857,-17.757936507936513
summary_stats_2025-10-31_2016.csv,-15.1926338744851,-7.689201195380017,-42.25115497690046,10.762284754304918,-6.282183316168893,-12.358393408856848,34.892541087231336,6.194690265486717,21.421319796954315,21.015228426395936
summary_stats_2025-10-31_2020.csv,193.65694652453524,119.64584618095319,-208.3564600678384,-199.90749306197966,-19.66156325543917,-39.16196615632555,-35.3211009174312,82.6605504587156,378.2694198623402,-19.075712881022614
summary_stats_2025-10-31_2028.csv,146.12995699952222,263.01958910654565,-60.91163190711674,-1073.8550849279723,11.775700934579428,-24.11214953271028,68.2642487046632,161.52849740932643,523.264907135875,-29.423264907135874
summary_stats_2025-10-31_2035.csv,59.86411365040148,-29.17232859789994,-178.6082474226804,-166.17983963344784,53.82139983909893,17.779565567176174,68.05194805194806,15.25974025974025,403.0411449016099,-30.23255813953489
summary_stats_2025-10-31_2046.csv,14.607736311631719,31.156360664669037,194.38226903664687,290.12508229098086,23.033707865168534,28.97271268057785,47.431192660550444,66.60550458715595,-15.98401598401598,-18.58141858141858
summary_stats_2025-10-31_2051.csv,58.53890544739679,-6.858393049654386,91.94224199058854,27.48017791529685,-7.199999999999996,-18.100000000000005,55.84324702589222,56.54303708887334,430.37752414398597,-38.36698858647937
