session_id,subject_id,timestamp_iso,epoch_s,rel_time_s,event_marker,side,pressure_mmHg,notes
S250821_173820,P001,2025-08-21 17:38,1755765505,0,BASELINE_START,NA,,
S250821_173820,P001,2025-08-21 17:38,1755765508,2.95,BASELINE_END,NA,,
S250821_173820,P001,2025-08-21 17:38,1755765512,7.29,CUFF_INFLATE_START,R,,
S250821_173820,P001,2025-08-21 17:38,1755765518,13.472,TARGET_REACHED,R,,
S250821_173820,P001,2025-08-21 17:38,1755765521,16.1,OCCLUSION_START,R,,
S250821_173820,P001,2025-08-21 17:38,1755765524,18.801,CUFF_RELEASE,R,,
S250821_173820,P001,2025-08-21 17:38,1755765527,21.911,RECOVERY_END,NA,,
S250821_173820,P001,2025-08-21 17:38,1755765530,24.873,ARTIFACT_START,NA,,
S250821_173820,P001,2025-08-21 17:38,1755765535,29.911,ARTIFACT_END,NA,,
S250821_173820,P001,2025-08-21 17:39,1755765543,37.936,PRESSURE_UPDATE,R,170,
S250821_173820,P001,2025-08-21 17:39,1755765545,40.369,SESSION_END,NA,,
S250821_173820,P001,2025-08-21 17:39,1755765545,40.37,SESSION_END,NA,,
